id,full_name,weight_class_description,elo,fight_count
1,Ron van Clief,,977,2
2,Thomas Ramirez,,990,2
3,Gerry Harris,,975,2
4,Harold Howard,,982,4
5,Dan Severn,Heavyweight,1116,14
6,Houston Dorr,Heavyweight,976,2
7,Gerard Gordeau,,1044,4
8,Dieusel Berto,,975,2
9,Joe Charles,Heavyweight,974,3
10,Larry Cureton,,962,3
11,Keith Hackney,,1006,5
12,Emmanuel Yarborough,,976,2
13,Tai Bowden,,976,2
14,Rick Davis,Lightweight,975,2
15,Steve Jennum,,1040,4
16,Ronald Jhun,Welterweight,986,2
17,Kevin Rosier,,1003,3
18,Marco Ruas,Light Heavyweight,1048,7
19,Maurice Smith,Heavyweight,1042,8
20,Darrel Gholar,Middleweight,987,2
21,Christophe Leninger,Lightweight,961,3
22,Joe Moreira,Lightweight,1003,3
23,Nick Sanzo,Lightweight,976,2
24,Greg Stott,Heavyweight,976,2
25,Tony Halme,Heavyweight,988,2
26,Paul Jones,Middleweight,1016,3
27,Randy Couture,Light Heavyweight,1145,25
28,Art Jimmerson,Middleweight,990,2
29,Koji Kitao,,977,2
30,Adrian Serrano,Welterweight,976,2
31,Jason Godsey,Heavyweight,971,3
32,Geza Kalman,,1025,2
33,Roland Payne,,978,2
34,Mark Robinson,Heavyweight,1000,2
35,Mark Schultz,,1026,2
36,Orlando Wiet,,1001,3
37,Cal Worsham,,998,4
38,Ken Shamrock,Light Heavyweight,1025,16
39,Brad Kohler,Heavyweight,1005,3
40,Eldo Xavier Dias,,1000,1
41,Mark Coleman,Light Heavyweight,1060,13
42,Todd Butler,Lightweight,976,2
43,Moti Horenstein,Heavyweight,966,3
44,Kevin Jackson,Middleweight,1013,5
45,Rainy Martinez,Lightweight,977,2
46,Steve Nelmark,,1013,3
47,Marcus Silveira,Heavyweight,975,3
48,Patrick Smith,,1082,7
49,Eugenio Tadeu,Lightweight,976,2
50,Falaniko Vitale,Middleweight,1007,3
51,Tra Telligman,Heavyweight,968,6
52,Andre Roberts,Heavyweight,1002,3
53,Bas Rutten,Light Heavyweight,1055,3
54,David Abbott,Heavyweight,971,19
55,Sam Adkins,,977,3
56,Scott Ferrozzo,Heavyweight,1027,5
57,Mike van Arsdale,Light Heavyweight,1006,5
58,Tim Lajcik,Heavyweight,962,4
59,Gil Castillo,Welterweight,995,4
60,Don Frye,Light Heavyweight,1193,11
61,Ron Waterman,Heavyweight,1026,5
62,Royce Alger,Middleweight,962,3
63,Scott Bessac,,1025,2
64,Zane Frazier,,952,3
65,John Matua,,987,2
66,Gary Goodridge,Heavyweight,1012,9
67,Murilo Bustamante,Welterweight,1073,5
68,Eugene Jackson,Middleweight,977,8
69,Ian Freeman,Heavyweight,1056,7
70,Royce Gracie,Welterweight,1224,14
71,Marcus Bossett,,989,2
72,Jeff Newton,Light Heavyweight,977,2
73,Sherman Pendergarst,Heavyweight,986,2
74,Tony Petarra,Middleweight,977,2
75,Igor Zinoviev,Middleweight,980,2
76,Bill Mahood,Light Heavyweight,987,2
77,Andre Pederneiras,Lightweight,986,2
78,Yoji Anjo,Middleweight,952,4
79,Enson Inoue,Lightweight,1026,2
80,Oleg Taktarov,,1107,10
81,Mark Weir,Middleweight,989,4
82,Dave Beneteau,Heavyweight,1015,7
83,Trent Jenkins,,975,2
84,Guy Mezger,Light Heavyweight,1104,6
85,Harry Moskowitz,Heavyweight,975,2
86,Keith Rockel,Middleweight,1003,3
87,Eddie Ruiz,Lightweight,987,2
88,Townsend Saunders,Lightweight,964,3
89,Ernie Verdicia,,988,2
90,Kimo Leopoldo,Heavyweight,988,7
91,Wallid Ismail,Lightweight,975,2
92,John Lober,Middleweight,977,2
93,Pat Miletich,Welterweight,1132,11
94,Satoshi Honma,Heavyweight,975,2
95,Roberto Traven,Heavyweight,990,2
96,Phil Johns,Lightweight,977,2
97,Bobby Hoffman,Heavyweight,953,4
98,Colin Robinson,Heavyweight,953,3
99,Mark Kerr,Heavyweight,1107,5
100,Carlos Barreto,Heavyweight,975,2
101,Jeff Cox,Lightweight,951,3
102,Jon Hess,,1025,2
103,John Lewis,Lightweight,1013,3
104,Remco Pardoel,,1042,6
105,Chris Sanford,Middleweight,989,2
106,Paul Varelans,,1012,9
107,Ebenezer Fontes Braga,Middleweight,1028,2
108,Chris Haseman,Light Heavyweight,985,2
109,Teila Tuli,,976,2
110,Kazushi Sakuraba,Heavyweight,1025,3
111,Jason DeLucia,Middleweight,1017,5
112,Bobby Southworth,Light Heavyweight,976,2
113,Chuck Liddell,Light Heavyweight,1169,24
114,Tedd Williams,Heavyweight,1002,3
115,John Campetella,,975,2
116,David Hood,,975,2
117,Brian Johnston,Heavyweight,969,7
118,Anthony Macias,Welterweight,977,3
119,Todd Medina,,1001,3
120,Jim Mullen,Heavyweight,976,2
121,Joel Sutton,,1000,1
122,Yoshiki Takahashi,Lightweight,1025,2
123,Tsuyoshi Kohsaka,Heavyweight,1006,7
125,Matt Lindland,Middleweight,1126,13
126,Paul Creighton,Lightweight,988,2
127,Alfonso Alcarez,Featherweight,1000,2
128,Fabiano Iha,Lightweight,1016,8
129,Dan Henderson,Middleweight,1017,19
130,John Marsh,Heavyweight,978,2
131,Lance Gibson,Middleweight,1012,3
132,Joe Son,,978,2
133,Jutaro Nakao,Lightweight,1013,3
134,Kevin Jordan,Heavyweight,963,3
135,Amaury Bitetti,Middleweight,1013,3
136,Dan Bobish,Heavyweight,1003,3
137,Stevie Lynch,Welterweight,978,2
138,Vladimir Matyushenko,Light Heavyweight,1081,13
139,Pete Spratt,Welterweight,1000,8
140,Ivan Salaverry,Middleweight,1000,8
141,Jeff Monson,Heavyweight,1036,8
142,Evan Tanner,Welterweight,1085,18
143,Elvis Sinosic,Light Heavyweight,942,8
144,Allan Goes,Middleweight,976,2
145,Matt Andersen,,975,2
146,Marvin Eastman,Middleweight,945,6
147,Sean Alvarez,Heavyweight,976,2
148,Joao Roque,Lightweight,987,2
149,Kevin Randleman,Light Heavyweight,1052,8
150,Sanae Kikuta,Middleweight,1027,2
151,Chris Brennan,Lightweight,966,3
152,Homer Moore,Middleweight,986,2
153,Vernon White,Light Heavyweight,987,3
154,Mike Nickels,Light Heavyweight,1002,3
155,Tony Fryklund,Middleweight,1007,5
156,Kristian Rothaermel,Light Heavyweight,976,2
157,Jorge Rivera,Middleweight,1022,16
158,Nate Quarry,Middleweight,1097,11
159,Houston Alexander,Light Heavyweight,965,7
160,Dokonjonosuke Mishima,Lightweight,976,3
161,Dan Christison,Heavyweight,1003,3
162,Shonie Carter,Welterweight,1024,7
163,Frank Trigg,Welterweight,990,8
164,Fabiano Scherner,Heavyweight,973,3
165,Keiichiro Yamamiya,Middleweight,987,2
166,Jason Black,Lightweight,951,3
167,Brian Gassaway,Welterweight,988,2
168,Katsuhisa Fujii,,1002,3
169,Trevor Prangley,Middleweight,1005,5
170,Frank Shamrock,Middleweight,1149,6
171,Jermaine Andre,Middleweight,976,2
172,Rafael Carino,,1025,2
173,Jason Fairn,,979,2
174,John Halverson,Lightweight,967,3
175,Anthony Perosh,Light Heavyweight,967,13
176,Crafton Wallace,Middleweight,965,3
177,David Baron,Lightweight,976,2
178,Reese Andy,Light Heavyweight,950,3
179,Travis Lutter,Middleweight,970,7
180,Steve Berger,Welterweight,971,4
181,Gideon Ray,Middleweight,944,4
182,Mostapha Al-Turk,Heavyweight,929,4
183,Sean Sherk,Lightweight,1109,13
184,Marcus Aurelio,Lightweight,959,7
185,Marcus Davis,Lightweight,1106,16
186,James Lee,Light Heavyweight,975,2
187,Matt Hughes,Welterweight,1260,26
188,Mark Hughes,Middleweight,1025,2
189,Semmy Schilt,Heavyweight,1003,3
