"id","first_name","last_name","full_name","nick_name","hometown_city","hometown_state","hometown_country","hometown_country_tricode","trains_at_city","trains_at_state","trains_at_country","trains_at_country_tricode","wins","losses","draws","age","height","stance","reach","weight_class_id","weight_class_order","weight_class_description","url","last_updated_at"
"1","Ron","van Clief","Ron van Clief","The Black Dragon","Brooklyn","New York","USA","USA",,,,,"0","1","0","82","178","Orthodox",,,,,"http://www.ufc.com/athlete/Ron-Van-Clief","2025-04-04 00:49:38.689563+00"
"2","Thomas","Ramirez","Thomas Ramirez",,"Bayamon",,"Puerto Rico","PUR",,,,,"0","1","0",,"185","Sideways",,,,,"http://www.ufc.com/athlete/Thomas-Ramirez","2025-04-04 00:49:38.708857+00"
"3","Gerry","Harris","Gerry Harris",,,,"USA","USA",,,,,"1","4","0",,"203","Orthodox",,,,,"http://www.ufc.com/athlete/Gerry-Harris","2025-04-04 00:49:38.680148+00"
"4","Harold","Howard","Harold Howard",,"Niagara Falls","Ontario","Canada","CAN",,,,,"1","3","0",,"188","Orthodox",,,,,"http://www.ufc.com/athlete/Harold-Howard","2025-04-04 00:49:38.643502+00"
"5","Dan","Severn","Dan Severn","The Beast","Coldwater","Michigan","USA","USA",,,,,"101","19","1","66","188","Southpaw",,"1","1","Heavyweight","http://www.ufc.com/athlete/Dan-Severn","2025-04-04 00:49:43.556343+00"
"6","Houston","Dorr","Houston Dorr",,"Diamond Head","Mississippi","USA","USA",,,,,"1","2","0",,"185","Orthodox",,"1","1","Heavyweight","http://www.ufc.com/athlete/Houston-Dorr","2025-04-04 00:49:38.568939+00"
"7","Gerard","Gordeau","Gerard Gordeau",,"Amsterdam","Noord-Holland","Netherlands","NED",,,,,"2","2","0","66","196","Orthodox",,,,,"http://www.ufc.com/athlete/Gerard-Gordeau","2025-04-04 00:49:38.67863+00"
"8","Dieusel","Berto","Dieusel Berto",,,,"USA","USA",,,,,"0","3","0",,"175",,,,,,"http://www.ufc.com/athlete/Dieusel-Berto","2025-04-04 00:49:38.718528+00"
"9","Joe","Charles","Joe Charles","The Ghetto Man","Culver City","California","USA","USA",,,,,"6","13","0",,"185","Southpaw",,"1","1","Heavyweight","http://www.ufc.com/athlete/Joe-Charles","2025-04-04 00:49:38.76043+00"
"10","Larry","Cureton","Larry Cureton",,"Jersey City","New Jersey","USA","USA",,,,,"0","2","0",,"188","Orthodox",,,,,"http://www.ufc.com/athlete/Larry-Cureton","2025-04-04 00:49:38.648396+00"
"11","Keith","Hackney","Keith Hackney","The Giant Killer","Addison","Illinois","USA","USA",,,,,"2","2","0",,"180","Sideways",,,,,"http://www.ufc.com/athlete/Keith-Hackney","2025-04-04 00:49:38.629511+00"
"12","Emmanuel","Yarborough","Emmanuel Yarborough",,,,"USA","USA",,,,,"1","2","0","64","203","Open Stance",,,,,"http://www.ufc.com/athlete/Emmanuel-Yarbrough","2025-04-04 00:49:41.533167+00"
"13","Tai","Bowden","Tai Bowden",,,,,,,,,,"1","1","0",,"180",,,,,,"http://www.ufc.com/athlete/Tai-Bowden","2025-04-04 00:49:38.657594+00"
"14","Rick","Davis","Rick Davis","The Flying Squirrel","Los Angeles","California","USA","USA","Las Vegas","Nevada","USA","USA","3","1","1",,"175","Orthodox",,"5","1","Lightweight","http://www.ufc.com/athlete/Rick-Davis","2025-04-04 00:49:35.73724+00"
"15","Steve","Jennum","Steve Jennum",,"Omaha","Nebraska","USA","USA",,,,,"2","3","0",,"178","Orthodox",,,,,"http://www.ufc.com/athlete/Steve-Jennum","2025-04-04 00:49:38.64803+00"
"16","Ronald","Jhun","Ronald Jhun","The Machine Gun","Honolulu","Hawaii","USA","USA","Honolulu","Hawaii","USA","USA","24","26","2","54","180","Orthodox",,"4","1","Welterweight","http://www.ufc.com/athlete/Ronald-Jhun","2025-04-04 00:49:50.275159+00"
"17","Kevin","Rosier","Kevin Rosier",,"Tampa","Florida","USA","USA",,,,,"2","6","0",,"193","Orthodox",,,,,"http://www.ufc.com/athlete/Kevin-Rosier","2025-04-04 00:49:38.774505+00"
"18","Marco","Ruas","Marco Ruas","King of the Streets","Rio de Janeiro","Rio de Janeiro","Brazil","BRA",,,,,"9","4","2","64","185","Orthodox",,"2","1","Light Heavyweight","http://www.ufc.com/athlete/Marco-Ruas","2025-04-04 00:49:41.450365+00"
"19","Maurice","Smith","Maurice Smith",,"Seattle","Washington","USA","USA","Bogota",,"Colombia","COL","12","14","0","63","188","Orthodox",,"1","1","Heavyweight","http://www.ufc.com/athlete/Maurice-Smith","2025-04-04 00:49:43.951241+00"
"20","Darrel","Gholar","Darrel Gholar",,"North Hollywood","California","USA","USA",,,,,"5","6","0",,"173","Orthodox",,"3","1","Middleweight","http://www.ufc.com/athlete/Darrel-Gholar","2025-04-04 00:49:38.475338+00"
"21","Christophe","Leninger","Christophe Leninger",,,,,,,,,,"3","4","0",,"183","Southpaw",,"5","1","Lightweight","http://www.ufc.com/athlete/Christophe-Leininger","2025-04-04 00:49:38.599823+00"
"22","Joe","Moreira","Joe Moreira",,,,,,,,,,"2","2","0",,"180","Southpaw",,"5","1","Lightweight","http://www.ufc.com/athlete/Joe-Moriera","2025-04-04 00:49:38.676366+00"
"23","Nick","Sanzo","Nick Sanzo",,"Niskayuna","New York","USA","USA",,,,,"1","1","0",,"175",,,"5","1","Lightweight","http://www.ufc.com/athlete/Nick-Sanzo","2025-04-04 00:49:38.679062+00"
"24","Greg","Stott","Greg Stott","Ranger","Sanford","North Carolina","USA","USA",,,,,"0","1","0",,"170","Southpaw",,"1","1","Heavyweight","http://www.ufc.com/athlete/Greg-Stott","2025-04-04 00:49:38.517026+00"
"25","Tony","Halme","Tony Halme",,"Helsinki",,"Finland","FIN",,,,,"0","4","0","62","191","Orthodox",,"1","1","Heavyweight","http://www.ufc.com/athlete/Tony-Halme","2025-04-04 00:49:38.438042+00"
"26","Paul","Jones","Paul Jones",,,,,,,,,,"11","1","1","61","175","Orthodox",,"3","1","Middleweight","http://www.ufc.com/athlete/Paul-Jones","2025-04-04 00:49:38.287316+00"
"27","Randy","Couture","Randy Couture","The Natural","Everett","Washington","USA","USA","Roseburg","Oregon","USA","USA","19","11","0","61","185","Orthodox","191","2","1","Light Heavyweight","http://www.ufc.com/athlete/Randy-Couture","2025-04-04 00:49:54.646143+00"
